,season,episode,title,speaker
0,1,1,Pilot,Michael
1,1,1,Pilot,Jim
2,1,1,Pilot,Michael
3,1,1,Pilot,Jim
4,1,1,Pilot,Michael
5,1,1,Pilot,Michael
6,1,1,Pilot,Michael
7,1,1,Pilot,Pam
8,1,1,Pilot,Michael
9,1,1,Pilot,Pam
10,1,1,Pilot,Michael
11,1,1,Pilot,Pam
12,1,1,Pilot,Michael
13,1,1,Pilot,Pam
14,1,1,Pilot,Michael
15,1,1,Pilot,Michael
16,1,1,Pilot,Dwight
17,1,1,Pilot,Jim
18,1,1,Pilot,Michael
19,1,1,Pilot,Jim
20,1,1,Pilot,Michael
21,1,1,Pilot,Dwight
22,1,1,Pilot,Michael
23,1,1,Pilot,Dwight
24,1,1,Pilot,Michael
25,1,1,Pilot,Jim
26,1,1,Pilot,Michael
27,1,1,Pilot,Jim
28,1,1,Pilot,Michael
29,1,1,Pilot,Jan
30,1,1,Pilot,Michael
31,1,1,Pilot,Jan
32,1,1,Pilot,Michael
33,1,1,Pilot,Jan
34,1,1,Pilot,Michael
35,1,1,Pilot,Jan
36,1,1,Pilot,Michael
37,1,1,Pilot,Pam
38,1,1,Pilot,Michael
39,1,1,Pilot,Pam
40,1,1,Pilot,Michael
41,1,1,Pilot,Jan
42,1,1,Pilot,Michael
43,1,1,Pilot,Jan
44,1,1,Pilot,Michael
45,1,1,Pilot,Jan
46,1,1,Pilot,Michael
47,1,1,Pilot,Jan
48,1,1,Pilot,Michael
49,1,1,Pilot,Jan
50,1,1,Pilot,Michael
51,1,1,Pilot,Jan
52,1,1,Pilot,Michael
53,1,1,Pilot,Michael
54,1,1,Pilot,Jan
55,1,1,Pilot,Michael
56,1,1,Pilot,Todd Packer
57,1,1,Pilot,Michael
58,1,1,Pilot,Todd Packer
59,1,1,Pilot,Michael
60,1,1,Pilot,Todd Packer
61,1,1,Pilot,Michael
62,1,1,Pilot,Jan
63,1,1,Pilot,Michael
64,1,1,Pilot,Phyllis
65,1,1,Pilot,Stanley
66,1,1,Pilot,Oscar
67,1,1,Pilot,Angela
68,1,1,Pilot,Kevin
69,1,1,Pilot,Pam
70,1,1,Pilot,Jim
71,1,1,Pilot,Pam
72,1,1,Pilot,Jim
73,1,1,Pilot,Michael
74,1,1,Pilot,Michael
75,1,1,Pilot,Ryan
76,1,1,Pilot,Pam
77,1,1,Pilot,Michael
78,1,1,Pilot,Ryan
79,1,1,Pilot,Michael
80,1,1,Pilot,Ryan
81,1,1,Pilot,Michael
82,1,1,Pilot,Pam
83,1,1,Pilot,Pam
84,1,1,Pilot,Jim
85,1,1,Pilot,Dwight
86,1,1,Pilot,Jim
87,1,1,Pilot,Dwight
88,1,1,Pilot,Jim
89,1,1,Pilot,Dwight
90,1,1,Pilot,Dwight
91,1,1,Pilot,Jim
92,1,1,Pilot,Dwight
93,1,1,Pilot,Jim
94,1,1,Pilot,Dwight
95,1,1,Pilot,Dwight
96,1,1,Pilot,Pam
97,1,1,Pilot,Michael
98,1,1,Pilot,Pam
99,1,1,Pilot,Michael
100,1,1,Pilot,Pam
101,1,1,Pilot,Michael
102,1,1,Pilot,Pam
103,1,1,Pilot,Michael
104,1,1,Pilot,Michael
105,1,1,Pilot,Michael
106,1,1,Pilot,Michael
107,1,1,Pilot,Dwight
108,1,1,Pilot,Michael
109,1,1,Pilot,Dwight
110,1,1,Pilot,Michael
111,1,1,Pilot,Oscar
112,1,1,Pilot,Dwight
113,1,1,Pilot,Michael
114,1,1,Pilot,Dwight
115,1,1,Pilot,Michael
116,1,1,Pilot,Dwight
117,1,1,Pilot,Michael
118,1,1,Pilot,Ryan
119,1,1,Pilot,Oscar
120,1,1,Pilot,Michael
121,1,1,Pilot,Stanley
122,1,1,Pilot,Michael
123,1,1,Pilot,Stanley
124,1,1,Pilot,Dwight
125,1,1,Pilot,Michael
126,1,1,Pilot,Phyllis
127,1,1,Pilot,Michael
128,1,1,Pilot,Stanley
129,1,1,Pilot,Michael
130,1,1,Pilot,Pam
131,1,1,Pilot,Man
132,1,1,Pilot,Michael
133,1,1,Pilot,Dwight
134,1,1,Pilot,Stanley
135,1,1,Pilot,Michael
136,1,1,Pilot,Jim
137,1,1,Pilot,Pam
138,1,1,Pilot,Michael
139,1,1,Pilot,Ryan
140,1,1,Pilot,Michael
141,1,1,Pilot,Dwight
142,1,1,Pilot,Michael
143,1,1,Pilot,Dwight
144,1,1,Pilot,Michael
145,1,1,Pilot,Dwight
146,1,1,Pilot,Dwight
147,1,1,Pilot,Michael
148,1,1,Pilot,Dwight
149,1,1,Pilot,Dwight
150,1,1,Pilot,Dwight
151,1,1,Pilot,Michael
152,1,1,Pilot,Dwight
153,1,1,Pilot,Michael
154,1,1,Pilot,Dwight
155,1,1,Pilot,Jim
156,1,1,Pilot,Dwight
157,1,1,Pilot,Michael
158,1,1,Pilot,Dwight
159,1,1,Pilot,Michael
160,1,1,Pilot,Jim
161,1,1,Pilot,Michael
162,1,1,Pilot,Ryan
163,1,1,Pilot,Michael
164,1,1,Pilot,Dwight
165,1,1,Pilot,Michael
166,1,1,Pilot,Jim
167,1,1,Pilot,Pam
168,1,1,Pilot,Jim
169,1,1,Pilot,Pam
170,1,1,Pilot,Jim
171,1,1,Pilot,Pam
172,1,1,Pilot,Roy
173,1,1,Pilot,Jim
174,1,1,Pilot,Roy
175,1,1,Pilot,Pam
176,1,1,Pilot,Pam
177,1,1,Pilot,Pam
178,1,1,Pilot,Roy
179,1,1,Pilot,Pam
180,1,1,Pilot,Jim
181,1,1,Pilot,Roy
182,1,1,Pilot,Jim
183,1,1,Pilot,Jim
184,1,1,Pilot,Roy
185,1,1,Pilot,Jim
186,1,1,Pilot,Jim
187,1,1,Pilot,Michael
188,1,1,Pilot,Ryan
189,1,1,Pilot,Michael
190,1,1,Pilot,Ryan
191,1,1,Pilot,Michael
192,1,1,Pilot,Pam
193,1,1,Pilot,Michael
194,1,1,Pilot,Pam
195,1,1,Pilot,Michael
196,1,1,Pilot,Pam
197,1,1,Pilot,Michael
198,1,1,Pilot,Pam
199,1,1,Pilot,Michael
200,1,1,Pilot,Pam
201,1,1,Pilot,Michael
202,1,1,Pilot,Pam
203,1,1,Pilot,Michael
204,1,1,Pilot,Michael
205,1,1,Pilot,Pam
206,1,1,Pilot,Michael
207,1,1,Pilot,Michael
208,1,1,Pilot,Pam
209,1,1,Pilot,Jim
210,1,1,Pilot,Jim
211,1,1,Pilot,Pam
212,1,1,Pilot,Jim
213,1,1,Pilot,Pam
214,1,1,Pilot,Jim
215,1,1,Pilot,Pam
216,1,1,Pilot,Jim
217,1,1,Pilot,Pam
218,1,1,Pilot,Jim
219,1,1,Pilot,Pam
220,1,1,Pilot,Jim
221,1,1,Pilot,Pam
222,1,1,Pilot,Jim
223,1,1,Pilot,Pam
224,1,1,Pilot,Jim
225,1,1,Pilot,Jim
226,1,1,Pilot,Pam
227,1,1,Pilot,Jim
228,1,2,Diversity Day,Michael
229,1,2,Diversity Day,Mr. Brown
230,1,2,Diversity Day,Michael
231,1,2,Diversity Day,Michael
232,1,2,Diversity Day,Jim
233,1,2,Diversity Day,Jim
234,1,2,Diversity Day,Dwight
235,1,2,Diversity Day,Jim
236,1,2,Diversity Day,Dwight
237,1,2,Diversity Day,Jim
238,1,2,Diversity Day,Dwight
239,1,2,Diversity Day,Jim
240,1,2,Diversity Day,Jim
241,1,2,Diversity Day,Pam
242,1,2,Diversity Day,Jim
243,1,2,Diversity Day,Pam
244,1,2,Diversity Day,Jim
245,1,2,Diversity Day,Pam
246,1,2,Diversity Day,Jim
247,1,2,Diversity Day,Michael
248,1,2,Diversity Day,Oscar
249,1,2,Diversity Day,Michael
250,1,2,Diversity Day,Oscar
251,1,2,Diversity Day,Michael
252,1,2,Diversity Day,Oscar
253,1,2,Diversity Day,Michael
254,1,2,Diversity Day,Mr. Brown
255,1,2,Diversity Day,Michael
256,1,2,Diversity Day,Jim
257,1,2,Diversity Day,Michael
258,1,2,Diversity Day,Jim
259,1,2,Diversity Day,Mr. Brown
260,1,2,Diversity Day,Michael
261,1,2,Diversity Day,Mr. Brown
262,1,2,Diversity Day,Michael
263,1,2,Diversity Day,Mr. Brown
264,1,2,Diversity Day,Michael
265,1,2,Diversity Day,Mr. Brown
266,1,2,Diversity Day,Michael
267,1,2,Diversity Day,Mr. Brown
268,1,2,Diversity Day,Michael
269,1,2,Diversity Day,Mr. Brown
270,1,2,Diversity Day,Michael
271,1,2,Diversity Day,Mr. Brown
272,1,2,Diversity Day,Michael
273,1,2,Diversity Day,Mr. Brown
274,1,2,Diversity Day,Michael
275,1,2,Diversity Day,Dwight
276,1,2,Diversity Day,Mr. Brown
277,1,2,Diversity Day,Michael
278,1,2,Diversity Day,Mr. Brown
279,1,2,Diversity Day,Michael
280,1,2,Diversity Day,Mr. Brown
281,1,2,Diversity Day,Dwight
282,1,2,Diversity Day,Michael
283,1,2,Diversity Day,Dwight
284,1,2,Diversity Day,Mr. Brown
285,1,2,Diversity Day,Dwight
286,1,2,Diversity Day,Mr. Brown
287,1,2,Diversity Day,Dwight
288,1,2,Diversity Day,Michael
289,1,2,Diversity Day,Mr. Brown
290,1,2,Diversity Day,Michael
291,1,2,Diversity Day,Mr. Brown
292,1,2,Diversity Day,Michael
293,1,2,Diversity Day,Mr. Brown
294,1,2,Diversity Day,Michael
295,1,2,Diversity Day,Mr. Brown
296,1,2,Diversity Day,Michael
297,1,2,Diversity Day,Mr. Brown
298,1,2,Diversity Day,Kevin
299,1,2,Diversity Day,Mr. Brown
300,1,2,Diversity Day,Michael
301,1,2,Diversity Day,Michael
302,1,2,Diversity Day,Kevin
303,1,2,Diversity Day,Michael
304,1,2,Diversity Day,Mr. Brown
305,1,2,Diversity Day,Michael
306,1,2,Diversity Day,Mr. Brown
307,1,2,Diversity Day,Michael
308,1,2,Diversity Day,Mr. Brown
309,1,2,Diversity Day,Dwight
310,1,2,Diversity Day,Mr. Brown
311,1,2,Diversity Day,Dwight
312,1,2,Diversity Day,Mr. Brown
313,1,2,Diversity Day,Dwight
314,1,2,Diversity Day,Mr. Brown
315,1,2,Diversity Day,Dwight
316,1,2,Diversity Day,Mr. Brown
317,1,2,Diversity Day,Michael
318,1,2,Diversity Day,Mr. Brown
319,1,2,Diversity Day,Michael
320,1,2,Diversity Day,Mr. Brown
321,1,2,Diversity Day,Michael
322,1,2,Diversity Day,Mr. Brown
323,1,2,Diversity Day,Michael
324,1,2,Diversity Day,Mr. Brown
325,1,2,Diversity Day,Michael
326,1,2,Diversity Day,Mr. Brown
327,1,2,Diversity Day,Michael
328,1,2,Diversity Day,Mr. Brown
329,1,2,Diversity Day,Michael
330,1,2,Diversity Day,Mr. Brown
